oom,opt_time,rep,wall_time,cpu_utilization,mem_usage,net_usage,ver,index,net,scale,wflow
False,0.6977509659999441,0,794.5957092699999,0,502,0,p2d2.optimizer,True,lan,1,agg.py
False,0.6977509659999441,1,794.5957092699999,0,502,0,p2d2.optimizer,True,lan,1,agg.py
False,2.6000000161729986e-06,0,234.353786978,0,9134,0,p2d2.no_optimizer,True,lan,1,agg.py
False,2.6000000161729986e-06,1,234.353786978,0,9134,0,p2d2.no_optimizer,True,lan,1,agg.py
False,0.1549653740000849,0,12.192407711999977,0,359,0,p2d2.optimizer,False,lan,1,agg.py
False,0.1549653740000849,1,12.192407711999977,0,359,0,p2d2.optimizer,False,lan,1,agg.py
False,6.000000212225132e-07,0,229.60778845300024,0,9132,0,p2d2.no_optimizer,False,lan,1,agg.py
False,6.000000212225132e-07,1,229.60778845300024,0,9132,0,p2d2.no_optimizer,False,lan,1,agg.py
False,0.1854930009999407,0,12.80038541199974,0,360,0,p2d2.optimizer,True,wan,1,agg.py
False,0.1854930009999407,1,12.80038541199974,0,360,0,p2d2.optimizer,True,wan,1,agg.py
False,6.999998731771484e-07,0,231.03015702600032,0,9132,0,p2d2.no_optimizer,True,wan,1,agg.py
False,6.999998731771484e-07,1,231.03015702600032,0,9132,0,p2d2.no_optimizer,True,wan,1,agg.py
False,0.0149824400000397,0,13.18338175100007,0,359,0,p2d2.optimizer,False,wan,1,agg.py
False,0.0149824400000397,1,13.18338175100007,0,359,0,p2d2.optimizer,False,wan,1,agg.py
False,9.99999883788405e-07,0,235.58225500199975,0,9132,0,p2d2.no_optimizer,False,wan,1,agg.py
False,9.99999883788405e-07,1,235.58225500199975,0,9132,0,p2d2.no_optimizer,False,wan,1,agg.py
False,0.0131512200000543,0,13.656016112000088,0,360,0,p2d2.optimizer,True,loc,1,agg.py
False,0.0131512200000543,1,13.656016112000088,0,360,0,p2d2.optimizer,True,loc,1,agg.py
False,7.000003279244993e-07,0,232.6710417549998,0,9132,0,p2d2.no_optimizer,True,loc,1,agg.py
False,7.000003279244993e-07,1,232.6710417549998,0,9132,0,p2d2.no_optimizer,True,loc,1,agg.py
False,0.0138081109998893,0,13.116469072999736,0,360,0,p2d2.optimizer,False,loc,1,agg.py
False,0.0138081109998893,1,13.116469072999736,0,360,0,p2d2.optimizer,False,loc,1,agg.py
False,8.999995770864189e-07,0,231.972389908,0,9133,0,p2d2.no_optimizer,False,loc,1,agg.py
False,8.999995770864189e-07,1,231.972389908,0,9133,0,p2d2.no_optimizer,False,loc,1,agg.py
False,0.0156302099999265,0,756.0435677790001,0,3085,0,p2d2.optimizer,True,lan,10,agg.py
False,0.0156302099999265,1,756.0435677790001,0,3085,0,p2d2.optimizer,True,lan,10,agg.py
True,8.000001798791345e-07,0,264.98818498300034,0,15731,0,p2d2.no_optimizer,True,lan,10,agg.py
True,8.000001798791345e-07,1,264.98818498300034,0,15731,0,p2d2.no_optimizer,True,lan,10,agg.py
False,0.5393092840004101,0,686.7180788659998,0,13156,0,p2d2.optimizer,False,lan,10,agg.py
False,0.5393092840004101,1,686.7180788659998,0,13156,0,p2d2.optimizer,False,lan,10,agg.py
True,8.999995770864189e-07,0,269.59473375699963,0,15702,0,p2d2.no_optimizer,False,lan,10,agg.py
True,8.999995770864189e-07,1,269.59473375699963,0,15702,0,p2d2.no_optimizer,False,lan,10,agg.py
False,0.3492330999997648,0,787.54837434,0,13150,0,p2d2.optimizer,True,wan,10,agg.py
False,0.3492330999997648,1,787.54837434,0,13150,0,p2d2.optimizer,True,wan,10,agg.py
True,1.000000338535756e-06,0,293.2594040719996,0,15714,0,p2d2.no_optimizer,True,wan,10,agg.py
True,1.000000338535756e-06,1,293.2594040719996,0,15714,0,p2d2.no_optimizer,True,wan,10,agg.py
False,0.5567211630004749,0,837.345646576,0,13156,0,p2d2.optimizer,False,wan,10,agg.py
False,0.5567211630004749,1,837.345646576,0,13156,0,p2d2.optimizer,False,wan,10,agg.py
True,1.000000338535756e-06,0,244.05836188400008,0,15724,0,p2d2.no_optimizer,False,wan,10,agg.py
True,1.000000338535756e-06,1,244.05836188400008,0,15724,0,p2d2.no_optimizer,False,wan,10,agg.py
False,0.2963586430005307,0,754.9152723690004,0,13149,0,p2d2.optimizer,True,loc,10,agg.py
False,0.2963586430005307,1,754.9152723690004,0,13149,0,p2d2.optimizer,True,loc,10,agg.py
True,1.2000000424450263e-06,0,309.9619969130008,0,15733,0,p2d2.no_optimizer,True,loc,10,agg.py
True,1.2000000424450263e-06,1,309.9619969130008,0,15733,0,p2d2.no_optimizer,True,loc,10,agg.py
False,0.344401692998872,0,877.4348324919993,0,13159,0,p2d2.optimizer,False,loc,10,agg.py
False,0.344401692998872,1,877.4348324919993,0,13159,0,p2d2.optimizer,False,loc,10,agg.py
True,1.0999992809956891e-06,0,300.2304739020001,0,15734,0,p2d2.no_optimizer,False,loc,10,agg.py
True,1.0999992809956891e-06,1,300.2304739020001,0,15734,0,p2d2.no_optimizer,False,loc,10,agg.py
False,0.1860950699992827,0,30.80884840500039,0,2798,0,p2d2.optimizer,True,lan,1,join.py
False,0.1860950699992827,1,30.80884840500039,0,2798,0,p2d2.optimizer,True,lan,1,join.py
False,1.3000008038943631e-06,0,15.762290396000026,0,1419,0,p2d2.no_optimizer,True,lan,1,join.py
False,1.3000008038943631e-06,1,15.762290396000026,0,1419,0,p2d2.no_optimizer,True,lan,1,join.py
False,0.0009709010009828,0,16.101827780999884,0,2752,0,p2d2.optimizer,False,lan,1,join.py
False,0.0009709010009828,1,16.101827780999884,0,2752,0,p2d2.optimizer,False,lan,1,join.py
False,1.000000338535756e-06,0,15.117944571000407,0,1414,0,p2d2.no_optimizer,False,lan,1,join.py
False,1.000000338535756e-06,1,15.117944571000407,0,1414,0,p2d2.no_optimizer,False,lan,1,join.py
False,0.0010200010001426,0,16.413727420000214,0,2751,0,p2d2.optimizer,True,wan,1,join.py
False,0.0010200010001426,1,16.413727420000214,0,2751,0,p2d2.optimizer,True,wan,1,join.py
False,1.2000000424450263e-06,0,15.493804068999452,0,1415,0,p2d2.no_optimizer,True,wan,1,join.py
False,1.2000000424450263e-06,1,15.493804068999452,0,1415,0,p2d2.no_optimizer,True,wan,1,join.py
False,0.0009860009995463,0,16.405888469000274,0,2751,0,p2d2.optimizer,False,wan,1,join.py
False,0.0009860009995463,1,16.405888469000274,0,2751,0,p2d2.optimizer,False,wan,1,join.py
False,8.999995770864189e-07,0,15.13520400499874,0,1415,0,p2d2.no_optimizer,False,wan,1,join.py
False,8.999995770864189e-07,1,15.13520400499874,0,1415,0,p2d2.no_optimizer,False,wan,1,join.py
False,0.0015923009996186,0,16.124277474000337,0,12782,0,p2d2.optimizer,True,loc,1,join.py
False,0.0015923009996186,1,16.124277474000337,0,12782,0,p2d2.optimizer,True,loc,1,join.py
False,1.000000338535756e-06,0,14.806286572000316,0,1417,0,p2d2.no_optimizer,True,loc,1,join.py
False,1.000000338535756e-06,1,14.806286572000316,0,1417,0,p2d2.no_optimizer,True,loc,1,join.py
False,0.0011907009993592,0,15.681143136000172,0,2751,0,p2d2.optimizer,False,loc,1,join.py
False,0.0011907009993592,1,15.681143136000172,0,2751,0,p2d2.optimizer,False,loc,1,join.py
False,9.000013960758224e-07,0,14.910647929000334,0,1415,0,p2d2.no_optimizer,False,loc,1,join.py
False,9.000013960758224e-07,1,14.910647929000334,0,1415,0,p2d2.no_optimizer,False,loc,1,join.py
True,0.0013917020005465,0,235.77756878800028,0,15725,0,p2d2.optimizer,True,lan,10,join.py
True,0.0013917020005465,1,235.77756878800028,0,15725,0,p2d2.optimizer,True,lan,10,join.py
False,0.0075259069999447,0,210.555221785,0,22999,0,p2d2.no_optimizer,True,lan,10,join.py
False,0.0075259069999447,1,210.555221785,0,22999,0,p2d2.no_optimizer,True,lan,10,join.py
True,0.1487690279991511,0,196.74583191500096,0,17481,0,p2d2.optimizer,False,lan,10,join.py
True,0.1487690279991511,1,196.74583191500096,0,17481,0,p2d2.optimizer,False,lan,10,join.py
False,0.0006884009999339,0,211.58573139700093,0,19390,0,p2d2.no_optimizer,False,lan,10,join.py
False,0.0006884009999339,1,211.58573139700093,0,19390,0,p2d2.no_optimizer,False,lan,10,join.py
True,0.1684857950003788,0,347.1222717689998,0,15773,0,p2d2.optimizer,True,wan,10,join.py
True,0.1684857950003788,1,347.1222717689998,0,15773,0,p2d2.optimizer,True,wan,10,join.py
False,0.0243005900010757,0,209.242556135001,0,13444,0,p2d2.no_optimizer,True,wan,10,join.py
False,0.0243005900010757,1,209.242556135001,0,13444,0,p2d2.no_optimizer,True,wan,10,join.py
True,0.2076803350009868,0,171.47268807799992,0,25817,0,p2d2.optimizer,False,wan,10,join.py
True,0.2076803350009868,1,171.47268807799992,0,25817,0,p2d2.optimizer,False,wan,10,join.py
False,1.999998858082108e-06,0,245.04644768300025,0,22021,0,p2d2.no_optimizer,False,wan,10,join.py
False,1.999998858082108e-06,1,245.04644768300025,0,22021,0,p2d2.no_optimizer,False,wan,10,join.py
